mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08042411804199219,0.01420010911925783,0.014325284957885742,0.005724272965320957,20,{'n_estimators': 20},0.6118722315300408,0.6672820514476535,0.7207173303025596,0.7232611264395108,0.6319720326494076,0.6710209544738344,0.04524629146103441,10
0.11567502021789551,0.006790622697168403,0.013703727722167968,0.001478126875006332,40,{'n_estimators': 40},0.6264951315292369,0.6861171613376609,0.6848153506936312,0.7357034222561836,0.6520804019308577,0.677042293549514,0.03677502762844428,9
0.15680437088012694,0.008197044179766286,0.0161435604095459,0.0010679516070918522,60,{'n_estimators': 60},0.6382279070728829,0.6879072682199556,0.6678682278994209,0.7468647815044371,0.6636837052421642,0.6809103779877722,0.03657209064948847,6
0.2055662155151367,0.006711745777711301,0.019837236404418944,0.0005870440150493454,80,{'n_estimators': 80},0.6186836826779645,0.7099950305234461,0.6955993016492203,0.7457925476190121,0.6673045421337289,0.6874750209206744,0.04269235323051198,1
0.24598355293273927,0.007591719950242242,0.02191634178161621,0.0007165716051652091,100,{'n_estimators': 100},0.625683493138179,0.6949659972723963,0.6767149669395596,0.7316501388214037,0.6681769253442679,0.6794383043031613,0.03461502523050321,8
0.31799607276916503,0.0061545805073573495,0.02685708999633789,0.0018127230668990362,120,{'n_estimators': 120},0.6048630407928701,0.703912036393477,0.6953625696495438,0.7310223030847122,0.6660962263527198,0.6802512352546646,0.04301076936663898,7
0.34909849166870116,0.01986229209576442,0.029161691665649414,0.002256064948318286,140,{'n_estimators': 140},0.6264370555642279,0.6920883062005018,0.6896484139551784,0.7422074735492562,0.6687658264238845,0.6838294151386097,0.037498966319294225,3
0.41298794746398926,0.017722239544277395,0.03388280868530273,0.004627165626393802,160,{'n_estimators': 160},0.6190778098114822,0.6915668117224989,0.693402785784588,0.7389683329297815,0.6749377107184922,0.6835906901933685,0.03863512608634967,4
0.4529257774353027,0.027693311144950387,0.035634613037109374,0.0012769997659487714,180,{'n_estimators': 180},0.6170460297039563,0.6912085062287738,0.6997452931375654,0.7521542751843078,0.6762712751565574,0.6872850758822321,0.04343613876091087,2
0.49140639305114747,0.016776866498060778,0.03989076614379883,0.0006344348225743821,200,{'n_estimators': 200},0.6240314059928829,0.6906588283899029,0.6871637494351249,0.7381271438511041,0.6772263160722382,0.6834414887482507,0.03639959448824824,5
